,penalty,C,solver,max_iter,accuracy
0,l1,6813293296.49051,saga,188,0.785625
1,l1,104482262.43224107,saga,299,0.78575
2,l2,6.675369969047322e-08,saga,249,0.726625
3,l1,2.1871056697097768e-08,saga,216,0.5
4,l2,0.00012612553604586461,saga,210,0.73875
5,l2,872992.8592603044,saga,294,0.785875
6,l2,89865256.81339532,saga,123,0.784625
7,l1,0.20190693052585734,saga,495,0.780875
8,l2,2.677488823025816e-07,saga,238,0.738875
9,l1,702124946.0297283,saga,125,0.7845
10,l2,5163.1766101240155,saga,420,0.786125
11,l2,2748.0180461856635,saga,436,0.785875
12,l2,41282.128380889546,saga,393,0.786
13,l2,285.7399923996334,saga,400,0.78625
14,l2,0.042482769900461057,saga,384,0.77925
15,l2,40.08285846871445,saga,478,0.7865
16,l2,29.042511470064472,saga,490,0.786875
17,l2,17.3875960848358,saga,488,0.786875
18,l2,0.0014880757502639848,saga,464,0.74825
19,l2,18.183692653480797,saga,335,0.786375
20,l2,2.7608485208521786e-05,saga,353,0.73875
21,l2,6.27432331619817,saga,497,0.786625
22,l2,1.0506757073255986,saga,496,0.7885
23,l2,0.011806663460481079,saga,451,0.769625
24,l2,0.8224603345406526,saga,496,0.789125
25,l2,0.7623297801807416,saga,455,0.78925
26,l2,6.159513415448705e-06,saga,445,0.73925
27,l2,0.5002310903902993,saga,360,0.788875
28,l2,3.8095537535331993e-10,saga,354,0.5
29,l1,0.00501459347205707,saga,421,0.723
