,criterion,n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy
0,gini,219,11,13,12,0.80375
1,gini,383,12,15,7,0.80625
2,gini,386,18,15,2,0.809125
3,gini,309,11,12,1,0.80625
4,gini,245,17,12,13,0.805875
5,gini,335,11,14,3,0.806625
6,gini,345,15,11,2,0.8085
7,gini,227,15,10,3,0.807875
8,gini,378,11,4,9,0.803875
9,gini,358,16,12,14,0.805125
10,gini,273,18,6,6,0.805875
11,gini,399,13,8,1,0.8045
12,gini,336,14,9,4,0.808125
13,gini,350,18,15,1,0.8085
14,gini,302,16,10,5,0.808
15,gini,396,14,7,9,0.803875
16,gini,372,17,2,2,0.80775
17,gini,327,15,11,5,0.80675
18,gini,278,17,14,8,0.804
19,gini,359,13,5,11,0.805
20,gini,320,16,15,3,0.80775
21,gini,354,18,15,1,0.807625
22,gini,350,18,14,1,0.808125
23,gini,400,18,13,2,0.808125
24,gini,372,17,13,4,0.808
25,gini,344,16,11,2,0.81
26,gini,387,16,15,4,0.807
27,gini,279,17,9,6,0.808
28,gini,317,18,11,1,0.8075
29,gini,340,15,10,2,0.808625
